 Positions in Proteins,unique ID,protein_name,Description,Master Protein Accessions,protein_species,Avg_HM_F,Avg_HM_G,Avg_HM_I,Avg_Bovine_F,Avg_Bovine_G,Avg_Bovine_I
"P05814,P02666",0,Shared - Beta-casein,Shared - Beta-casein,P05814; P02666,Bovine;Human,25807.31055,3939360.653,6027517.07,18656.87871,1842523.827,896062.1875
P02666,1,Bovine - Beta-casein,Bovine - Beta-casein,P02666,Bovine,0,0,0,161536883.7,3034805919,13449809945
P05814,2,Human - Beta-casein,Human - Beta-casein,P05814,Human,549751260.6,10815857661,22447408068,0,0,0
"P02788,P24627",3,Shared - Lactotransferrin,Shared - Lactotransferrin,P02788; P24627,Bovine;Human,0,86755025.12,96041.17188,30579.35156,6032544.319,31046219.32
P24627,4,Bovine - Lactotransferrin,Bovine - Lactotransferrin,P24627,Bovine,0,0,0,219224.6107,13605154.31,40327846.75
P02788,5,Human - Lactotransferrin,Human - Lactotransferrin,P02788,Human,375450.738,201668609.6,211796049.8,0,0,0
"P00711,P00709",6,Shared - Alpha-lactalbumin,Shared - Alpha-lactalbumin,G9G9X6; P00709,Bovine;Human,1255415.111,5252648.248,3642364903,673514.5233,4571921.083,857542223.6
P00711,7,Bovine - Alpha-lactalbumin,Bovine - Alpha-lactalbumin,G9G9X6,Bovine,0,0,0,132896.5354,8972374.321,742465716.3
P00709,8,Human - Alpha-lactalbumin,Human - Alpha-lactalbumin,P00709,Human,28859.27515,2628676.289,31891365.14,0,0,0
"P10451,P31096",9,Shared - Osteopontin,Shared - Osteopontin,P10451; P31096,Bovine;Human,2145311.54,6717581.621,21529087.97,475494.8216,875316.0586,1175256.375
P31096,10,Bovine - Osteopontin,Bovine - Osteopontin,P31096,Bovine,0,0,0,3280559.764,3808680.245,85826958.26
P10451,11,Human - Osteopontin,Human - Osteopontin,P10451,Human,75319382.93,109541454.7,919985493.4,0,0,0
"P60712,P68133",12,Shared - Actin,Shared - Actin,Q58DT9; P60712; P68133,Bovine;Human,435405.1878,554489022.4,114857403.7,813497.0315,622997804.5,191012404.7
P02668,13,Bovine - Kappa-casein,Bovine - Kappa-casein,P02668,Bovine,0,0,0,171381620.6,1163248836,1038782498
P02663,14,Bovine - Alpha-S2-casein,Bovine - Alpha-S2-casein,P02663,Bovine,0,0,0,25186899.73,256077728.5,293355230.8
P02662,15,Bovine - Alpha-S1-casein,Bovine - Alpha-S1-casein,P02662,Bovine,0,0,0,57992990.98,1191661662,10945758032
P47710,16,Human - Alpha-S1-casein,Human - Alpha-S1-casein,P47710,Human,30809849.69,29336771.21,571586559.1,0,0,0
P02754,17,Bovine - Beta-lactoglobulin,Bovine - Beta-lactoglobulin,P02754,Bovine,0,0,0,21982624.75,1839703280,22831713823
A1L5A4,18,Bovine - Death,Bovine - Death,A1L5A4,Bovine,0,0,0,0,565663.9375,0
A1L5B0,19,Bovine - Myosin,Bovine - Myosin,A1L5B0,Bovine,0,0,0,36065.70313,1840836.667,0
A1L5C2,20,Bovine - Adipose,Bovine - Adipose,A1L5C2; Q99541,Bovine;Human,42594.08529,9069282.059,604122.25,115277.0391,1434704.115,6091126.063
"A1L5C2,Q9TS52,Q9TUM6",21,Bovine - Adipose - Bovine - Adipocyte - Bovine - Perilipin-2,Bovine - Adipose - Bovine - Adipocyte - Bovine - Perilipin-2,A1L5C2,Bovine,0,0,0,23939.4668,2634469,862081.776
"A1L5C2,Q9TUM6",22,Bovine - Adipose - Bovine - Perilipin-2,Bovine - Adipose - Bovine - Perilipin-2,A1L5C2,Bovine,0,0,0,328281.5,3034932.959,4047129.1
"A5D984,P14618",23,Shared - Pyruvate,Shared - Pyruvate,A5D984,Bovine;Human,9033.011719,937734.3545,58237.73828,9407.643555,973496.3526,905523
A5D987,24,Bovine - Ubiquitin-conjugating,Bovine - Ubiquitin-conjugating,A5D987,Bovine,0,0,0,0,46953.92773,443678.474
A5D9E7,25,Bovine - Mitochondrial,Bovine - Mitochondrial,A5D9E7,Bovine,0,0,0,0,155048.4674,0
A5D9E8,26,Bovine - Corneal,Bovine - Corneal,A5D9E8,Bovine,0,0,0,0,602167.9313,1126451.51
A5D9G3,27,Bovine - Similar,Bovine - Similar,A5D9G3,Bovine,0,0,0,0,1899201.026,0
A6NL28,28,Human - Putative,Human - Putative,A6NL28,Human,19066.34619,167024.3281,0,0,0,0
"A7E3Q2,P11021",29,Shared - Heat,Shared - Heat,P11021,Bovine;Human,16535.00586,155928.5313,1765855.965,49807.17578,261925.8021,2801761.669
"A7E3Q2,P11142",30,Shared - Heat,Shared - Heat,P11142,Bovine;Human,0,1569723.871,1598972.917,0,2044963.081,1386798.813
A7E3V1,31,Bovine - Succinate,Bovine - Succinate,A7E3V1,Bovine,0,0,0,0,1252427.815,0
A7E3W4,32,Bovine - Transketolase,Bovine - Transketolase,A7E3W4,Bovine,0,0,0,0,344639.3047,0
A7E3X7,33,Bovine - Putative,Bovine - Putative,A7E3X7,Bovine,0,0,0,11512.27832,0,1408910.333
"C6KGD8,C6KGD9,C6KGD7",34,Bovine - Histatherin,Bovine - Histatherin,C6KGD7,Bovine,0,0,0,0,37624.16341,1519379.342
"F1MI27,P46196,F1MFM8",35,Bovine - Mitogen-activated - Bovine - Uncharacterized,Bovine - Mitogen-activated - Bovine - Uncharacterized,P46196,Bovine,0,0,0,220399.0163,73308.60254,80023.32096
F1N5R1,36,Bovine - Protein,Bovine - Protein,F1N5R1,Bovine,0,0,0,0,284371.1016,0
O00391,37,Human - Sulfhydryl,Human - Sulfhydryl,O00391,Human,48125.76953,81696.74609,2127112.188,0,0,0
O00592,38,Human - Podocalyxin,Human - Podocalyxin,O00592,Human,0,195182.1094,0,0,0,0
O43707,39,Human - Alpha-actinin-4,Human - Alpha-actinin-4,O43707,Human,0,2029151.926,0,0,0,0
O60543,40,Human - Cell,Human - Cell,O60543,Human,198602.4974,3584928.047,0,0,0,0
O60664,41,Human - Perilipin-3,Human - Perilipin-3,O60664,Human,88390.89551,5421061.459,0,0,0,0
P01009,42,Human - Alpha-1-antitrypsin,Human - Alpha-1-antitrypsin,P01009,Human,67309.51986,3333633.271,4943604.094,0,0,0
P01024,43,Human - Complement,Human - Complement,P01024,Human,0,661838.1289,0,0,0,0
P01833,44,Human - Polymeric,Human - Polymeric,P01833,Human,79093842.89,107997748.5,217240619.2,0,0,0
P01857,45,Human - Immunoglobulin,Human - Immunoglobulin,P01860,Human,0,393537.2344,0,0,0,0
P01876,46,Human - Immunoglobulin,Human - Immunoglobulin,P01876; P01877,Human,0,1744125.675,62037264.24,0,0,0
P01877,47,Human - Immunoglobulin,Human - Immunoglobulin,P01877,Human,0,0,813025.5391,0,0,0
P02647,48,Human - Apolipoprotein,Human - Apolipoprotein,P02647,Human,144876.2302,14640360.97,1017716.589,0,0,0
P02649,49,Human - Apolipoprotein,Human - Apolipoprotein,P02649,Human,0,265005.8203,1013287.771,0,0,0
P02652,50,Human - Apolipoprotein,Human - Apolipoprotein,P02652,Human,0,485024.5625,0,0,0,0
P02671,51,Human - Fibrinogen,Human - Fibrinogen,P02671,Human,826196.5607,579634.6973,1049074.656,0,0,0
P02675,52,Human - Fibrinogen,Human - Fibrinogen,P02675,Human,0,77891.57031,517024.9479,0,0,0
P02702,53,Bovine - Folate,Bovine - Folate,P02702,Bovine,0,0,0,0,3808002.529,1662009.661
P02765,54,Human - Alpha-2-HS-glycoprotein,Human - Alpha-2-HS-glycoprotein,P02765,Human,14137.06445,6678794.492,495680.0156,0,0,0
P02768,55,Human - Serum,Human - Serum,P02768,Human,142854.5237,10368989.71,44448441.61,0,0,0
P02774,56,Human - Vitamin,Human - Vitamin,P02774,Human,0,155880.9453,7750125.036,0,0,0
P04004,57,Human - Vitronectin,Human - Vitronectin,P04004,Human,16239.09277,0,422491.375,0,0,0
P04075,58,Human - Fructose-bisphosphate,Human - Fructose-bisphosphate,P04075,Human,0,2821711.846,5992761.542,0,0,0
"P04075,P09972,Q3ZBY4",59,Shared - Fructose-bisphosphate,Shared - Fructose-bisphosphate,P04075,Bovine;Human,190129.9443,185088.8145,1754165.453,0,260665.0755,69809.75
P04114,60,Human - Apolipoprotein,Human - Apolipoprotein,P04114,Human,0,0,1330126.721,0,0,0
P04406,61,Human - Glyceraldehyde-3-phosphate,Human - Glyceraldehyde-3-phosphate,P04406,Human,96344.69267,10881956.05,33878802.6,0,0,0
P04745,62,Human - Alpha-amylase,Human - Alpha-amylase,P04745,Human,55419.91113,2938736.165,30597929.59,0,0,0
P05155,63,Human - Plasma,Human - Plasma,P05155,Human,0,124273.4219,0,0,0,0
P05413,64,Human - Fatty,Human - Fatty,P05413,Human,29500.31934,393596.4404,0,0,0,0
P06396,65,Human - Gelsolin,Human - Gelsolin,P06396,Human,0,1069154.446,833172.9219,0,0,0
P06733,66,Human - Alpha-enolase,Human - Alpha-enolase,P06733,Human,0,1578626.832,0,0,0,0
P06858,67,Human - Lipoprotein,Human - Lipoprotein,P06858,Human,0,707595.3105,91945.92969,0,0,0
P07195,68,Human - L-lactate,Human - L-lactate,P07195,Human,0,3620391.247,0,0,0,0
"P07195,Q5E9B1",69,Shared - L-lactate,Shared - L-lactate,P07195,Bovine;Human,8668.806641,11301414.06,8687692.906,87934.23861,11687228.56,8878292.25
"P07237,A6H7J6",70,Shared - Protein,Shared - Protein,A6H7J6,Bovine;Human,0,474066.8398,0,0,445446.4375,3740182.425
P07498,71,Human - Kappa-casein,Human - Kappa-casein,P07498,Human,1057403.227,817105129,409076811.7,0,0,0
P08037,72,"Bovine - Beta-1,4-galactosyltransferase","Bovine - Beta-1,4-galactosyltransferase",P08037,Bovine,0,0,0,0,271963.8229,0
P08571,73,Human - Monocyte,Human - Monocyte,P08571,Human,0,976218.1113,17164692.38,0,0,0
P08697,74,Human - Alpha-2-antiplasmin,Human - Alpha-2-antiplasmin,P08697,Human,0,156345.9531,188144.9316,0,0,0
"P0C0L5,P0C0L4",75,Human - Complement,Human - Complement,P0C0L4,Human,225177.9427,34243.98828,0,0,0,0
P10152,76,Bovine - Angiogenin-1,Bovine - Angiogenin-1,P10152,Bovine,0,0,0,22067.63118,324855.1133,1916525.271
